Lens ID,Abstract_trim_2_string,cluster
000-251-444-646-256,challeng lie explor comput enabl possibl previous attempt provok thought new frontier visual comput introduc possibl interchang media offer multipl node access given object enabl level scheme level propos consequ visual level consid briefli final section consid navig tool question map meter track,Cluster 07
002-768-931-855-543,25 year leiden art historian waal inventor iconclass icon system call beeldleer brief review system borrow central idea beeldleer discuss method histor elementari mean artist express use hypertext concept potenti social construct emphas final design pilot educ context discuss,Cluster 03
013-996-415-887-147,outlin short histori terminolog former ussr thirti nineti draw pictur terminolob research activ use statist terminolog dissert chronolog order five year cumul regard correspond scientif technic disciplin area languag terminolog analysi latter find concludingli seven propos theori terminolog made stress establish region research center ordin activ,Cluster 04
017-489-591-364-184,advanc optim system manual autom use necessari documentor seven question pose feel must answer optim system suggest made form answer question might take,Cluster 03
056-979-885-047-930,effort build virtual museum focuss predominantli solv problem rapid chang interfac technolog insuffici effort spent plan virtual databas multimedia environ depend particularli viewpoint scholarli research getti art histori program vocabulari encourag consist among scholarli document project regardless technic implement terminolog standard vocabulari intend control terminolog data captur describ scenario propos util navig complex databas underli virtual museum,Cluster 02
065-723-239-027-836,attempt order main paramet scientif theori coher taxonomi system unif model sum construct serv formal frame classifi salient structur function empir exist ters give synopsi scope method applic global scale methodolog use triadic interfac paradigm combin dialect syllog algorithm arriv synthet conclus gener applic holist perspect situat static dynam content matter energi system space time context final dimens manipul formal oper code produc system systemat model use demonstr new theori sociophys integr basic principl social natur inclus conceptu framework sociophys assum fundament isomorph natur cultur therebi project heurist metaphor result contribut enhanc understand appreci global pictur human realiti,Cluster 03
065-776-954-434-253,special system iconclass creat henri waal descript occident art consid background art histor iconographi mean number exampl structur use iconclass import art histor document illustr,Cluster 02
072-262-854-270-373,chang technolog paradigm requir new definit standard area art technolog boundari system lessen make new realm integr possibl previous separ databas imag comput aid design system geograph system link multi media interdisciplinari system potenti exist unit physic separ resourc virtual databas common interfac exploit emerg commun network integr possibl system built share intellectu framework unless gather share common conceptu structur integr futur possibl,Cluster 11
122-703-378-850-053,intend first preliminari review implic new theori mainli cognit psycholog epistemolog research secondari topic scientif relat exist among epistemolog cognit discuss seen central activ daili scientif activ cours servic mutual implic conceptu former move natur latter best result elabor concept research concept theori theori direct outstand import integr achiev natur concept format theori altern conceptu tradit logician problem solv research clonclus seen complementari ncfp closer logic suitabl expert expert system,Cluster 08
131-111-699-854-730,world situat complex task reli vast bodi theori disciplin profess cultur divers requir particular instruct design compet main featur design world critic incid analysi interdepend task problem solv method implement solut perman evalu propos document critic incid solut implement result serv establish new interdisciplinari,Cluster 07
149-853-331-952-574,articl new taxonomi design design cover symbol ordin although ordin wide use conceptu terminolog literatur design categori broken accord basic form design type monomi polynomi initi symbol type alphabet graphic ordin type alphabet numer combin hybrid type discuss propos concept contrast iso terminolog vocabulari 1990 approxim defin,Cluster 03
159-341-018-942-277,perspect reorgan bibliograph lbc describ possibl transform system scientif tradit electron catalogu shown difficulti obstacl pursu complet lbc reconstruct expound,Cluster 11
165-166-377-215-209,rare seen task art histori give systemat consist detail access matter larg number histor imag lack systemat document sever handicap histor research involv interpret iconograph detail leav unabl count frequenc repres iconograph particular occur articl ask whether use iconograph system iconclass help creat countabl iconograph first deal consider guid shape comput edit recent made avail relev electron public system gener second statement gestur analyz background exist corpu systemat describ imag analysi draw attent paradox iconograph detail often play key role art histor discours must basi incident,Cluster 02
000-189-988-224-76X,unifi theori draw togeth compat method show other reject method reveal polythet group sequenc evalu qualiti best identifi charact group theori defin rule fuzzi use interact option group new 000 line fortran program call unit avail theori program option help show natur achiev failur human power group sens offer use understand extrem wide rang exampl given research teach take account,Cluster 00
003-149-126-851-754,third seri articl publish 1996 25 follow 1997 addit import distinct fundament concept tag use onomant terminolog report first essay sever interest comparison made first refer format structur nomenclatur use terminolog entri record iso parallel found dictionari suggest semant rather onomant view second larg number borrow taken lexicographi linguist found glossari terminolog terminolog sometim definit identifi borrow concept drawn vocabulari use lexicograph howev sometim new mean stipul without mark show borrow concept moreov case sinc origin newli stipul concept similar ambigu unavoid third concept might use terminologist iso exampl explain concept lexicograph consequ seem appar omit vocabulari terminolog simpli new concept without establish explain reason format omiss found lead glossari terminolog terminolog take realm specul complic inclus discuss seri focu problem neolog,Cluster 05
006-948-163-366-774,discuss help find proper place begin basic concept commun theori defin new concept permit conclus face flood messag latter flood must equat indiscrimin flood messag must judg content subdivid core peripher pseudo argu great major scientif public contain peripher pseudoknowledg interlock self ampli recurs mechan shown pseudoknowledg gain disciplin henc precis deal social problem broadest sens world deficit action produc lead gener disorient modern form ignor keenli manifest self crisi leadership research task result roughli outlin,Cluster 04
010-165-399-327-919,result transit full text storag multimedia network system becom effici time difficult use particular confront volum increasingli exceed individu process capac consequ increas demand aid summaris techniqu background interdisciplinari dagstuhl seminar summaris text intellig commun 1993 outlin academ state art regard summaris abstract propos futur direct research system,Cluster 01
012-629-049-920-451,literatur metaphor imag tree ofknowledg map ofknowledg world network play import role imageri although thoroughli document examin variou view epistemolog typolog ofmetaphor discours analysi metaphorolog iconographi crucial essenti cultur heritag,Cluster 02
013-302-417-490-03X,introduc scheme concept found triplet model concept model depict concept mean kind concept concept repres linkag concept deal entiti subsum concept properti relat concept repres deal tool form repres entiti properti relat intellig system linkag deal establish proper correspond compon repres kind associ specif structur relat concept symbol name statement imag text entiti properti relat procedur determin properti valu variou formal mainli theoret specif structur serv criteria triplet concept,Cluster 07
013-594-974-562-515,recent new book publish greenwood press titl seek represent activ theoret book new gener theori theori infom seek birger hjorland royal school 1994 theori intern isko confer copenhagen hjorland 1994 book aim new understand foundat new direct research teach hann albrechtsen interview birger hjorland copenhagen view represent,Cluster 01
019-135-892-010-245,document face task explor data fundu select accord actual intent even find happen find new aspect follow origin quest support procedur recent institut philosophi univers innsbruck austria gabek method ganzheitlich bewaltigung sprachlich erfasst komplexitat prove use far similar case order retriev especi build hidden order structur incorpor process storag facil,Cluster 00
024-276-265-590-973,gener linguist specif semant problem aris multilingu thesauru construct defin variou textbook guidelin cover area mani detail conceptu equival issu variou deal conceptu diverg describ discuss semant solut display option manag issu use technolog specialist guidelin seldom ever far comment whether particular option truli respect languag speaker premis multilingu thesauru languag equal review option solut offer guidelin special thesauri introduc problem sociocultur even truli polit natur promin featur daili life thesauru design theori guidelin deal,Cluster 11
025-107-741-251-630,start descart leibniz idea mathesi universali achiev modem mathemat divid major creation algorithm invent proof applic mathemat descript natur applic repeatedli view miracl major idea diminsh miracul impress view mathemat explor vast area ofal kind ofabstract structur establish huge store humanli possibl think physicist choos structur appropri case remain howev problem mathemat overdetermin ofphys structur suitabl applic usual contain mathemat element remain without physic interpret true miracl seem often difficult imposs elimin uninterpret element physic theori,Cluster 04
